               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11527,            0.019107,            0.051728,          0.00054403,             0.15198,          0.00049299,          0.00011888,             0.11198,            0.013326,             0.04891,              0.0892,              0.0012,              0.0012
                   1,             0.10239,            0.021203,            0.049257,           0.0012944,              0.3861,            0.001597,          0.00035585,            0.083838,            0.014404,            0.045465,            0.077494,           0.0024938,           0.0024938
                   2,            0.089243,            0.022787,            0.047303,             0.00255,              0.7655,            0.021452,           0.0042041,            0.074593,            0.014389,            0.042651,            0.065781,           0.0037812,           0.0037812
                   3,            0.081958,            0.022621,            0.045173,           0.0029897,             0.90349,            0.073268,            0.022168,            0.067963,            0.014026,            0.039041,            0.054062,           0.0050621,           0.0050621
                   4,            0.076183,            0.025541,            0.041947,             0.35297,             0.13813,             0.15354,            0.043881,            0.065213,            0.013087,            0.035652,            0.042337,           0.0063366,           0.0063366
                   5,            0.071273,            0.023456,            0.038924,             0.49409,             0.22202,             0.13471,            0.041848,            0.067677,            0.012268,            0.033686,            0.030605,           0.0076047,           0.0076047
                   6,            0.070075,            0.021486,            0.038434,             0.69359,             0.15652,             0.18504,            0.055711,             0.06248,            0.012628,            0.031766,            0.018866,           0.0088663,           0.0088663
                   7,            0.068678,            0.023016,            0.037585,             0.26606,             0.14783,             0.13526,            0.041723,            0.064486,             0.01231,            0.031099,           0.0098268,           0.0098268,           0.0098268
                   8,            0.065651,            0.020248,            0.034827,             0.25748,             0.14783,             0.10774,            0.027496,            0.075686,            0.010566,              0.0277,           0.0098268,           0.0098268,           0.0098268
                   9,            0.069581,            0.020067,            0.033742,             0.52678,                 0.2,             0.24933,            0.086262,            0.062686,            0.011151,            0.026167,            0.009802,            0.009802,            0.009802
                  10,             0.06671,            0.019716,              0.0304,             0.71896,             0.25973,             0.17878,            0.062701,            0.067173,           0.0096292,            0.024696,           0.0097773,           0.0097773,           0.0097773
                  11,            0.064116,            0.019553,            0.028684,             0.80192,             0.22609,             0.33704,             0.13924,            0.061185,            0.010049,            0.022904,           0.0097525,           0.0097525,           0.0097525
                  12,            0.061792,            0.020498,            0.027715,             0.19345,             0.48299,             0.30252,            0.081726,            0.061119,           0.0096326,             0.02153,           0.0097278,           0.0097278,           0.0097278
                  13,            0.063688,            0.019179,            0.024302,             0.57837,             0.42274,             0.35359,             0.14067,            0.063823,           0.0084089,            0.019386,            0.009703,            0.009703,            0.009703
                  14,            0.063544,            0.019481,            0.023687,             0.72772,             0.31532,             0.39783,             0.21574,            0.057059,           0.0085438,            0.017573,           0.0096783,           0.0096783,           0.0096783
                  15,            0.058565,             0.01808,            0.022127,             0.58269,             0.58184,              0.4805,             0.16482,             0.05254,           0.0086485,            0.016701,           0.0096535,           0.0096535,           0.0096535
                  16,            0.055416,            0.017445,            0.021438,              0.6404,             0.46315,             0.39452,             0.18651,             0.05443,           0.0084044,            0.015296,           0.0096288,           0.0096288,           0.0096288
                  17,            0.056664,             0.01849,            0.020823,             0.55942,             0.66312,             0.53686,             0.26793,            0.052132,           0.0082244,            0.014891,            0.009604,            0.009604,            0.009604
                  18,            0.058056,            0.016796,             0.02273,             0.40805,             0.80807,             0.66052,             0.35982,            0.046947,            0.008375,            0.013219,           0.0095793,           0.0095793,           0.0095793
                  19,            0.052745,            0.018606,            0.019419,             0.33244,             0.69033,             0.61491,             0.32439,            0.051236,           0.0085481,            0.011922,           0.0095545,           0.0095545,           0.0095545
                  20,            0.052861,            0.015377,            0.019199,             0.41424,             0.78051,             0.69662,             0.28474,             0.04477,           0.0083963,            0.011521,           0.0095298,           0.0095298,           0.0095298
                  21,            0.049497,            0.015196,            0.016706,             0.59538,             0.62553,             0.61242,             0.26527,            0.045644,           0.0080466,            0.011553,            0.009505,            0.009505,            0.009505
                  22,            0.050648,            0.016155,            0.018973,              0.4361,             0.73904,             0.57944,             0.25881,            0.046355,           0.0078259,           0.0097062,           0.0094803,           0.0094803,           0.0094803
                  23,             0.04809,            0.016147,            0.016447,              0.3776,             0.80348,              0.5768,             0.26346,            0.044758,           0.0078356,           0.0090445,           0.0094555,           0.0094555,           0.0094555
                  24,            0.048961,             0.01548,            0.015293,             0.50174,             0.80571,             0.65574,              0.3142,            0.048302,           0.0076611,           0.0087793,           0.0094307,           0.0094307,           0.0094307
                  25,            0.050067,            0.016146,             0.01367,             0.47721,             0.87766,             0.68187,             0.33624,             0.04353,            0.007632,           0.0078648,            0.009406,            0.009406,            0.009406
                  26,            0.050505,            0.015624,            0.013523,              0.4671,              0.8861,             0.68815,             0.32517,            0.041283,           0.0077387,           0.0072821,           0.0093813,           0.0093813,           0.0093813
                  27,            0.047903,              0.0143,             0.01341,             0.51692,             0.69885,             0.60167,              0.2725,             0.04326,           0.0075496,           0.0079759,           0.0093565,           0.0093565,           0.0093565
                  28,            0.049453,            0.014123,            0.013534,             0.64728,             0.73192,              0.7494,             0.34146,              0.0416,           0.0074175,           0.0085647,           0.0093317,           0.0093317,           0.0093317
                  29,            0.046268,            0.013644,            0.011263,               0.611,              0.8124,             0.73825,              0.3401,            0.042667,            0.007242,            0.006926,            0.009307,            0.009307,            0.009307
                  30,            0.044401,            0.013747,            0.013587,             0.63622,             0.86519,             0.78813,             0.43223,            0.038162,           0.0069813,           0.0065763,           0.0092823,           0.0092823,           0.0092823
                  31,            0.045171,             0.01417,            0.010851,             0.65944,             0.91438,              0.8461,             0.41559,            0.037555,           0.0069519,            0.006128,           0.0092575,           0.0092575,           0.0092575
                  32,            0.042111,            0.013408,            0.011008,             0.59368,             0.90497,             0.79982,             0.43075,            0.036587,           0.0067799,           0.0051317,           0.0092327,           0.0092327,           0.0092327
                  33,            0.043887,            0.014123,            0.010174,             0.64525,             0.86017,             0.83032,             0.44127,            0.038411,           0.0066879,           0.0051146,            0.009208,            0.009208,            0.009208
                  34,            0.049123,            0.013809,             0.01181,             0.42849,             0.85287,             0.70048,             0.30372,             0.04418,           0.0066692,           0.0049913,           0.0091833,           0.0091833,           0.0091833
                  35,            0.047472,            0.013391,           0.0091416,             0.72618,             0.87697,             0.88408,             0.50655,            0.036108,           0.0064753,           0.0049623,           0.0091585,           0.0091585,           0.0091585
                  36,            0.043377,            0.015229,           0.0097481,             0.63561,             0.88113,             0.85078,             0.39229,            0.037217,           0.0063982,           0.0045906,           0.0091337,           0.0091337,           0.0091337
                  37,             0.04213,             0.01561,           0.0099188,             0.59608,             0.86385,             0.84521,             0.46932,            0.036868,           0.0063293,           0.0047397,            0.009109,            0.009109,            0.009109
                  38,            0.045622,            0.014293,            0.010156,              0.6733,             0.89965,             0.85209,             0.50119,             0.03567,           0.0061828,           0.0044659,           0.0090843,           0.0090843,           0.0090843
                  39,             0.03998,            0.013874,           0.0087224,             0.54921,             0.90121,             0.80327,              0.4479,            0.039883,           0.0061817,           0.0042226,           0.0090595,           0.0090595,           0.0090595
                  40,            0.041531,            0.013467,           0.0099034,             0.63693,             0.94822,             0.83727,             0.48368,            0.035635,           0.0061551,           0.0040535,           0.0090347,           0.0090347,           0.0090347
                  41,            0.043852,            0.013565,           0.0079029,              0.5919,              0.9165,             0.87295,             0.49841,            0.035798,            0.006105,           0.0038436,             0.00901,             0.00901,             0.00901
                  42,            0.041626,            0.012498,           0.0086227,             0.76018,             0.88942,             0.90859,             0.53069,            0.035641,           0.0061891,           0.0037147,           0.0089853,           0.0089853,           0.0089853
                  43,            0.040427,            0.015154,           0.0084405,             0.76177,              0.8426,             0.90788,             0.53999,            0.033425,           0.0061104,           0.0037396,           0.0089605,           0.0089605,           0.0089605
                  44,            0.041128,            0.014029,           0.0077579,             0.68419,             0.85061,             0.87457,             0.53473,            0.038081,            0.006129,           0.0037388,           0.0089358,           0.0089358,           0.0089358
                  45,            0.040235,              0.0118,           0.0069612,             0.65157,             0.89975,             0.83488,               0.478,            0.035656,           0.0060599,           0.0037642,            0.008911,            0.008911,            0.008911
                  46,            0.041245,            0.014856,           0.0099943,             0.71412,             0.91876,             0.89984,             0.52993,             0.03037,           0.0059412,           0.0036108,           0.0088863,           0.0088863,           0.0088863
                  47,            0.038096,            0.013182,              0.0105,             0.74458,             0.93074,             0.86133,             0.55578,             0.03044,           0.0058287,           0.0035285,           0.0088615,           0.0088615,           0.0088615
                  48,            0.038986,            0.012794,           0.0059832,             0.68807,             0.90688,             0.86508,             0.52519,             0.03812,           0.0058135,           0.0034463,           0.0088368,           0.0088368,           0.0088368
                  49,            0.039657,            0.012858,           0.0078894,             0.71081,             0.90845,             0.88709,             0.53314,            0.035917,            0.005865,           0.0034725,            0.008812,            0.008812,            0.008812
                  50,             0.04179,             0.01338,            0.011366,             0.76601,              0.8714,             0.88514,             0.57741,             0.03208,           0.0059211,           0.0036756,           0.0087872,           0.0087872,           0.0087872
                  51,             0.03894,            0.013781,           0.0078365,             0.65872,             0.87995,             0.87816,             0.59047,            0.032299,           0.0060865,           0.0040278,           0.0087625,           0.0087625,           0.0087625
                  52,            0.040034,             0.01384,           0.0084616,             0.66558,              0.8924,             0.87575,             0.57687,            0.031518,           0.0061525,           0.0037478,           0.0087378,           0.0087378,           0.0087378
                  53,            0.038471,            0.012293,            0.012741,             0.60469,             0.89502,             0.80641,             0.51732,            0.031542,           0.0061905,           0.0035536,            0.008713,            0.008713,            0.008713
                  54,            0.039172,            0.014828,            0.010041,             0.81603,             0.84494,             0.91623,              0.5953,            0.030245,           0.0059725,           0.0036956,           0.0086882,           0.0086882,           0.0086882
                  55,            0.037748,            0.012625,           0.0085387,             0.72673,             0.85606,             0.89395,             0.56869,            0.029401,           0.0060272,           0.0037054,           0.0086635,           0.0086635,           0.0086635
