               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12056,             0.01891,                   0,           0.0010417,              0.3125,           0.0011755,          0.00027695,             0.13155,            0.012686,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12138,            0.016925,                   0,           0.0010417,              0.3125,          0.00090723,           0.0002434,             0.12802,            0.012847,                   0,            0.097297,          0.00029703,          0.00029703
                   2,             0.12502,            0.017364,                   0,           0.0014587,              0.4375,           0.0018845,          0.00040836,             0.12206,            0.013148,                   0,             0.09549,           0.0004901,           0.0004901
                   3,             0.11846,            0.019147,                   0,           0.0024194,              0.5625,           0.0048433,          0.00080831,              0.1096,            0.013585,                   0,            0.093679,          0.00067921,          0.00067921
                   4,             0.11315,            0.019243,                   0,             0.11266,              0.0625,              0.0291,           0.0051291,            0.094734,            0.014038,                   0,            0.091864,          0.00086436,          0.00086436
                   5,             0.11052,            0.017882,                   0,             0.15585,              0.1875,            0.078608,            0.026352,            0.083826,            0.014542,                   0,            0.090046,           0.0010455,           0.0010455
                   6,             0.10369,            0.025315,                   0,             0.29061,                0.25,               0.217,            0.078291,            0.076924,            0.015195,                   0,            0.088223,           0.0012228,           0.0012228
                   7,             0.10522,            0.019752,                   0,             0.40225,             0.29551,              0.3229,             0.10347,            0.073664,            0.015688,                   0,            0.086396,            0.001396,            0.001396
                   8,             0.09628,             0.01843,                   0,             0.65148,             0.46867,             0.55596,             0.20248,            0.069016,             0.01641,                   0,            0.084565,           0.0015654,           0.0015654
                   9,             0.08914,            0.025647,                   0,             0.66272,              0.4375,             0.54384,             0.23582,            0.066828,            0.016478,                   0,            0.082731,           0.0017307,           0.0017307
                  10,            0.091705,            0.021503,                   0,             0.66696,               0.375,             0.55767,             0.25931,            0.065355,            0.016514,                   0,            0.080892,           0.0018921,           0.0018921
                  11,            0.084528,            0.024772,                   0,             0.66696,               0.375,             0.55767,             0.25931,            0.065355,            0.016514,                   0,             0.07905,           0.0020495,           0.0020495
                  12,            0.085674,            0.025522,                   0,             0.70453,              0.4375,             0.62235,             0.25904,            0.066005,            0.016288,                   0,            0.077203,            0.002203,            0.002203
                  13,             0.08053,            0.022735,                   0,             0.57315,               0.375,              0.6193,             0.25002,            0.064666,            0.016074,                   0,            0.075353,           0.0023525,           0.0023525
                  14,            0.084341,            0.021808,                   0,             0.57315,               0.375,              0.6193,             0.25002,            0.064666,            0.016074,                   0,            0.073498,           0.0024981,           0.0024981
                  15,            0.083347,            0.029182,                   0,             0.37056,             0.44173,             0.50194,             0.18378,             0.06334,            0.015856,                   0,             0.07164,           0.0026396,           0.0026396
                  16,            0.078461,             0.01843,                   0,             0.37262,              0.3125,             0.52028,             0.22237,            0.063252,            0.015807,                   0,            0.069777,           0.0027773,           0.0027773
                  17,            0.070524,            0.024042,                   0,             0.37262,              0.3125,             0.52028,             0.22237,            0.063252,            0.015807,                   0,            0.067911,           0.0029109,           0.0029109
                  18,            0.077143,             0.02257,                   0,             0.83013,               0.375,             0.73183,              0.3183,            0.060434,            0.015672,                   0,            0.066041,           0.0030407,           0.0030407
                  19,            0.081814,            0.029195,                   0,             0.83013,               0.375,             0.73183,              0.3183,            0.060434,            0.015672,                   0,            0.064166,           0.0031664,           0.0031664
                  20,            0.077902,            0.023113,                   0,             0.77843,              0.4375,             0.76895,             0.32383,            0.058146,            0.015145,                   0,            0.062288,           0.0032882,           0.0032882
                  21,            0.072046,            0.025842,                   0,             0.77843,              0.4375,             0.76895,             0.32383,            0.058146,            0.015145,                   0,            0.060406,            0.003406,            0.003406
                  22,            0.072214,            0.025287,                   0,                   1,             0.55992,             0.78288,               0.357,             0.06183,            0.014584,                   0,             0.05852,           0.0035199,           0.0035199
                  23,            0.076298,            0.022636,                   0,                   1,             0.55992,             0.78288,               0.357,             0.06183,            0.014584,                   0,             0.05663,           0.0036298,           0.0036298
                  24,            0.071263,            0.023711,                   0,             0.80044,               0.625,             0.83372,             0.36934,            0.057682,            0.014971,                   0,            0.054736,           0.0037358,           0.0037358
                  25,            0.073745,            0.021507,                   0,             0.80044,               0.625,             0.83372,             0.36934,            0.057682,            0.014971,                   0,            0.052838,           0.0038378,           0.0038378
                  26,            0.076409,            0.023722,                   0,             0.80044,               0.625,             0.83372,             0.36934,            0.057682,            0.014971,                   0,            0.050936,           0.0039358,           0.0039358
                  27,            0.069149,            0.021368,                   0,              0.8307,               0.625,             0.79875,             0.36869,            0.055397,            0.014947,                   0,             0.04903,           0.0040299,           0.0040299
                  28,            0.071849,            0.024176,                   0,              0.8307,               0.625,             0.79875,             0.36869,            0.055397,            0.014947,                   0,             0.04712,             0.00412,             0.00412
                  29,            0.073094,            0.024361,                   0,             0.89915,              0.6875,             0.84553,             0.40173,            0.053538,            0.014612,                   0,            0.045206,           0.0042061,           0.0042061
                  30,            0.066254,            0.029489,                   0,             0.89915,              0.6875,             0.84553,             0.40173,            0.053538,            0.014612,                   0,            0.043288,           0.0042883,           0.0042883
                  31,            0.069977,            0.025364,                   0,             0.89915,              0.6875,             0.84553,             0.40173,            0.053538,            0.014612,                   0,            0.041367,           0.0043665,           0.0043665
                  32,            0.065863,            0.028742,                   0,             0.90995,             0.63208,             0.87085,             0.42575,            0.051905,            0.014288,                   0,            0.039441,           0.0044408,           0.0044408
                  33,            0.066787,            0.023777,                   0,             0.90995,             0.63208,             0.87085,             0.42575,            0.051905,            0.014288,                   0,            0.037511,           0.0045111,           0.0045111
                  34,            0.063162,            0.024955,                   0,             0.90995,             0.63208,             0.87085,             0.42575,            0.051905,            0.014288,                   0,            0.035577,           0.0045775,           0.0045775
                  35,            0.063777,            0.026406,                   0,             0.81923,             0.85063,             0.89768,             0.44633,            0.050704,            0.013553,                   0,             0.03364,           0.0046399,           0.0046399
                  36,            0.058233,            0.021067,                   0,             0.81923,             0.85063,             0.89768,             0.44633,            0.050704,            0.013553,                   0,            0.031698,           0.0046983,           0.0046983
                  37,            0.057742,            0.023493,                   0,             0.81923,             0.85063,             0.89768,             0.44633,            0.050704,            0.013553,                   0,            0.029753,           0.0047528,           0.0047528
                  38,             0.06171,            0.018839,                   0,             0.54935,               0.875,             0.81557,             0.41919,              0.0497,            0.013559,                   0,            0.027803,           0.0048033,           0.0048033
                  39,            0.065607,            0.023205,                   0,             0.54935,               0.875,             0.81557,             0.41919,              0.0497,            0.013559,                   0,             0.02585,           0.0048498,           0.0048498
                  40,            0.069499,            0.020368,                   0,             0.54935,               0.875,             0.81557,             0.41919,              0.0497,            0.013559,                   0,            0.023892,           0.0048924,           0.0048924
                  41,             0.05911,            0.022115,                   0,             0.67533,             0.39125,             0.54281,             0.27726,             0.05551,            0.012753,                   0,            0.021931,            0.004931,            0.004931
                  42,            0.066549,            0.018365,                   0,             0.67533,             0.39125,             0.54281,             0.27726,             0.05551,            0.012753,                   0,            0.019966,           0.0049657,           0.0049657
                  43,            0.070923,            0.019663,                   0,             0.67533,             0.39125,             0.54281,             0.27726,             0.05551,            0.012753,                   0,            0.017996,           0.0049964,           0.0049964
                  44,            0.069425,             0.02656,                   0,             0.67533,             0.39125,             0.54281,             0.27726,             0.05551,            0.012753,                   0,            0.016023,           0.0050232,           0.0050232
                  45,             0.06357,            0.017918,                   0,             0.50621,              0.5625,             0.64632,             0.31764,            0.047299,            0.012571,                   0,            0.014046,            0.005046,            0.005046
                  46,            0.062973,            0.023425,                   0,             0.50621,              0.5625,             0.64632,             0.31764,            0.047299,            0.012571,                   0,            0.012065,           0.0050648,           0.0050648
                  47,            0.065442,            0.019012,                   0,             0.50621,              0.5625,             0.64632,             0.31764,            0.047299,            0.012571,                   0,             0.01008,           0.0050797,           0.0050797
                  48,            0.070457,            0.020265,                   0,             0.50621,              0.5625,             0.64632,             0.31764,            0.047299,            0.012571,                   0,           0.0080906,           0.0050906,           0.0050906
                  49,            0.064899,            0.016402,                   0,             0.62724,                   1,               0.804,             0.35847,            0.043703,            0.012477,                   0,           0.0060975,           0.0050975,           0.0050975
                  50,             0.06044,             0.02257,                   0,             0.62724,                   1,               0.804,             0.35847,            0.043703,            0.012477,                   0,             0.00505,             0.00505,             0.00505
                  51,            0.059081,            0.022725,                   0,             0.62724,                   1,               0.804,             0.35847,            0.043703,            0.012477,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.055467,             0.02153,                   0,             0.62724,                   1,               0.804,             0.35847,            0.043703,            0.012477,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.053481,            0.018462,                   0,             0.64263,             0.89976,             0.83822,             0.37539,            0.044972,            0.012404,                   0,            0.004852,            0.004852,            0.004852
