               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087904,            0.022742,            0.046602,             0.60558,             0.29284,             0.21674,            0.076029,            0.053666,            0.013189,            0.034527,            0.070268,           0.0033036,           0.0033036
                   1,            0.061028,            0.021424,            0.030834,             0.33543,             0.64819,             0.52409,             0.23569,             0.04746,           0.0087687,            0.018411,            0.040251,           0.0066205,           0.0066205
                   2,            0.059307,            0.017318,            0.020407,             0.56748,             0.67563,             0.53937,             0.24046,            0.048449,           0.0075174,            0.011241,            0.010219,           0.0099209,           0.0099209
                   3,            0.054082,            0.014653,            0.015424,             0.63369,             0.63107,             0.67428,             0.33452,            0.042893,           0.0067056,           0.0093913,           0.0099258,           0.0099258,           0.0099258
                   4,            0.046426,            0.015062,            0.012811,             0.64214,             0.81743,              0.7391,             0.39384,            0.034379,           0.0065479,           0.0077138,           0.0099258,           0.0099258,           0.0099258
                   5,            0.043984,            0.013905,            0.010695,             0.66585,             0.85952,             0.79206,             0.44567,            0.035541,           0.0058986,           0.0056627,            0.009901,            0.009901,            0.009901
                   6,            0.040701,             0.01326,           0.0097647,             0.68566,             0.86132,             0.80101,             0.44319,            0.035108,           0.0057723,           0.0056416,           0.0098763,           0.0098763,           0.0098763
                   7,            0.038893,            0.013124,           0.0099064,              0.7818,             0.82715,             0.85803,             0.44316,            0.032946,           0.0058693,           0.0051806,           0.0098515,           0.0098515,           0.0098515
                   8,            0.037642,            0.012807,           0.0091491,             0.79051,             0.84222,             0.87739,             0.54299,            0.027613,           0.0057408,           0.0063222,           0.0098268,           0.0098268,           0.0098268
                   9,            0.036616,            0.013116,           0.0089334,             0.78818,             0.91775,              0.8845,             0.56286,            0.030412,           0.0055662,           0.0042664,            0.009802,            0.009802,            0.009802
                  10,            0.036489,            0.013103,            0.008175,             0.80068,             0.91387,             0.89702,             0.60771,            0.026182,           0.0054522,           0.0045184,           0.0097773,           0.0097773,           0.0097773
                  11,            0.034433,            0.012711,           0.0080163,             0.76634,             0.89384,              0.8896,             0.56481,            0.027971,           0.0054653,           0.0042418,           0.0097525,           0.0097525,           0.0097525
                  12,            0.034059,            0.012312,           0.0083963,             0.80828,             0.89613,             0.89778,              0.5997,            0.024807,           0.0054307,            0.004831,           0.0097278,           0.0097278,           0.0097278
                  13,            0.033948,            0.012219,           0.0068215,             0.83243,             0.87552,              0.9194,              0.6258,            0.025544,            0.005209,           0.0038708,            0.009703,            0.009703,            0.009703
                  14,             0.03324,            0.012459,           0.0070946,             0.83505,             0.86945,             0.91011,             0.60167,             0.02584,           0.0052104,           0.0038955,           0.0096783,           0.0096783,           0.0096783
                  15,            0.034024,            0.012321,           0.0065104,             0.78212,             0.90042,             0.90812,             0.57954,            0.025871,           0.0051636,           0.0039028,           0.0096535,           0.0096535,           0.0096535
                  16,            0.031651,            0.011572,           0.0058487,             0.78132,             0.89678,             0.90981,             0.63736,            0.023441,           0.0051515,           0.0033176,           0.0096288,           0.0096288,           0.0096288
                  17,            0.031599,            0.011618,           0.0064186,             0.81028,             0.88113,             0.90562,             0.65435,            0.023167,           0.0052186,           0.0036945,            0.009604,            0.009604,            0.009604
                  18,             0.03191,            0.011599,            0.005998,             0.83827,             0.86399,             0.91492,             0.64034,             0.02289,           0.0051117,           0.0040526,           0.0095793,           0.0095793,           0.0095793
                  19,            0.030958,            0.011443,           0.0049993,             0.78683,             0.91012,             0.90729,             0.66669,            0.023103,           0.0050397,           0.0040255,           0.0095545,           0.0095545,           0.0095545
                  20,            0.030797,            0.011601,           0.0061277,             0.81606,             0.89352,             0.91262,             0.65324,            0.022776,           0.0049451,           0.0037636,           0.0095298,           0.0095298,           0.0095298
                  21,            0.031263,            0.011739,           0.0062561,             0.84028,             0.88342,             0.92302,             0.64227,             0.02316,           0.0050449,           0.0032025,            0.009505,            0.009505,            0.009505
                  22,            0.030124,            0.010623,           0.0054548,              0.8184,             0.88082,             0.90887,             0.65853,            0.023156,            0.005137,           0.0032292,           0.0094803,           0.0094803,           0.0094803
                  23,            0.030116,             0.01107,           0.0051415,             0.80119,              0.8884,             0.91117,             0.65592,            0.021535,            0.004973,           0.0032741,           0.0094555,           0.0094555,           0.0094555
                  24,              0.0292,            0.011234,           0.0055316,             0.79685,             0.93541,              0.9053,             0.66005,            0.021728,           0.0049846,           0.0033259,           0.0094307,           0.0094307,           0.0094307
