               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10282,            0.020195,             0.04972,           0.0020809,             0.62046,            0.016716,           0.0038286,            0.077417,            0.014336,            0.043334,            0.070789,           0.0032456,           0.0032456
                   1,            0.077841,            0.024267,            0.041332,             0.53537,             0.22906,             0.13073,            0.038959,            0.063569,            0.012832,            0.033661,            0.040768,           0.0065572,           0.0065572
                   2,            0.069448,            0.021625,            0.033025,              0.5388,             0.29912,             0.20152,            0.072079,            0.068177,            0.010131,            0.023018,            0.010724,           0.0098469,           0.0098469
                   3,            0.067316,            0.019511,            0.026296,             0.63299,             0.26746,             0.31249,              0.1214,            0.064204,           0.0093621,            0.016812,            0.009901,            0.009901,            0.009901
                   4,            0.063514,            0.018742,            0.020393,              0.6266,             0.48092,             0.34454,             0.13942,            0.055432,           0.0084166,            0.013363,            0.009901,            0.009901,            0.009901
                   5,            0.057698,            0.017835,            0.017248,             0.50908,             0.57232,              0.4498,             0.19027,            0.060037,           0.0077071,            0.010688,            0.009868,            0.009868,            0.009868
                   6,            0.056654,            0.016106,            0.015734,             0.60378,              0.6519,             0.52937,             0.19034,            0.048816,           0.0067728,           0.0098356,            0.009835,            0.009835,            0.009835
                   7,            0.050528,            0.014315,            0.014997,             0.63764,             0.69432,             0.63311,             0.27343,            0.046453,           0.0067719,           0.0085531,            0.009802,            0.009802,            0.009802
                   8,            0.051611,            0.014549,            0.012094,             0.61626,             0.53194,             0.50615,             0.20586,            0.047531,           0.0066138,           0.0080094,            0.009769,            0.009769,            0.009769
                   9,            0.051391,             0.01353,            0.010856,             0.65759,             0.68249,             0.69774,             0.34939,            0.042734,           0.0061521,           0.0073501,            0.009736,            0.009736,            0.009736
                  10,            0.045057,            0.013708,             0.01373,             0.77167,             0.70112,              0.7611,             0.40579,            0.036797,           0.0060226,           0.0073902,            0.009703,            0.009703,            0.009703
                  11,            0.045176,            0.013072,             0.01049,             0.60973,             0.82751,             0.75923,             0.40041,             0.03745,           0.0059253,            0.006734,             0.00967,             0.00967,             0.00967
                  12,            0.046054,            0.014485,           0.0099206,             0.72207,             0.82633,             0.82344,             0.48669,            0.037632,           0.0057964,           0.0060747,            0.009637,            0.009637,            0.009637
                  13,            0.043444,            0.013364,            0.009336,              0.7335,             0.81888,             0.84452,             0.46779,            0.035008,           0.0058257,           0.0064327,            0.009604,            0.009604,            0.009604
                  14,             0.04126,            0.013011,            0.010385,             0.78295,             0.82943,              0.8674,             0.51056,            0.032382,           0.0056232,           0.0058714,            0.009571,            0.009571,            0.009571
                  15,            0.039635,            0.012517,           0.0090493,             0.80692,             0.82764,             0.89417,             0.48816,            0.035202,           0.0052633,           0.0049828,            0.009538,            0.009538,            0.009538
                  16,             0.03895,            0.012106,           0.0071312,              0.8667,             0.79785,             0.91561,             0.57451,             0.03089,           0.0051305,           0.0051486,            0.009505,            0.009505,            0.009505
                  17,            0.038372,            0.011823,           0.0080862,             0.81225,             0.76974,              0.8966,             0.53908,            0.029744,           0.0050445,           0.0051167,            0.009472,            0.009472,            0.009472
                  18,            0.038104,            0.011866,           0.0078182,             0.76549,             0.91065,              0.9121,             0.55633,            0.029494,           0.0049996,            0.004702,            0.009439,            0.009439,            0.009439
                  19,              0.0382,            0.012252,           0.0081384,             0.85852,             0.87655,             0.91995,             0.55576,            0.028873,           0.0051099,           0.0047666,            0.009406,            0.009406,            0.009406
                  20,            0.036685,            0.011105,           0.0066605,              0.7931,             0.85735,             0.91994,             0.59539,            0.029277,           0.0050002,           0.0039739,            0.009373,            0.009373,            0.009373
                  21,             0.03651,            0.011291,           0.0062796,             0.87163,             0.87532,              0.9165,             0.57973,            0.027422,           0.0049935,           0.0039734,             0.00934,             0.00934,             0.00934
                  22,            0.035945,            0.011146,            0.005773,             0.79056,             0.87405,             0.87778,             0.52879,            0.031905,           0.0049537,           0.0038146,            0.009307,            0.009307,            0.009307
                  23,            0.035779,            0.010978,           0.0062669,             0.77596,             0.90094,             0.89838,             0.51887,             0.03093,            0.004944,           0.0035038,            0.009274,            0.009274,            0.009274
                  24,            0.035985,            0.011034,           0.0059351,             0.79215,             0.92888,             0.90649,             0.59274,            0.027343,           0.0049369,           0.0031522,            0.009241,            0.009241,            0.009241
                  25,            0.035577,            0.011511,           0.0055534,              0.7565,             0.96502,             0.91055,             0.58064,            0.026689,           0.0047337,           0.0032461,            0.009208,            0.009208,            0.009208
                  26,            0.034034,            0.010953,           0.0065723,             0.91536,             0.82261,             0.89168,             0.62903,            0.024983,             0.00484,            0.003743,            0.009175,            0.009175,            0.009175
                  27,            0.034183,             0.01074,           0.0052545,             0.72814,              0.9335,             0.90448,             0.57768,            0.027576,           0.0047605,           0.0032877,            0.009142,            0.009142,            0.009142
                  28,            0.034336,            0.011143,           0.0048335,             0.78493,             0.88869,             0.88453,              0.5484,            0.028247,           0.0045936,            0.002977,            0.009109,            0.009109,            0.009109
                  29,             0.03453,            0.011719,            0.004993,             0.88417,             0.86965,             0.92911,             0.62097,             0.02511,           0.0046191,           0.0029701,            0.009076,            0.009076,            0.009076
                  30,            0.032247,            0.011165,           0.0047576,             0.81263,             0.88419,             0.93139,             0.61653,             0.02845,           0.0046321,           0.0028312,            0.009043,            0.009043,            0.009043
                  31,            0.032643,             0.01131,           0.0053411,             0.84253,             0.92354,             0.93306,             0.63707,            0.024668,           0.0045754,           0.0030359,             0.00901,             0.00901,             0.00901
                  32,             0.03237,            0.010514,           0.0053064,             0.82641,             0.94049,             0.90849,             0.60202,             0.02633,           0.0046037,           0.0028997,            0.008977,            0.008977,            0.008977
                  33,            0.032015,           0.0098753,           0.0050581,             0.83086,             0.91298,             0.92181,             0.63585,            0.023531,           0.0044392,            0.003155,            0.008944,            0.008944,            0.008944
                  34,            0.031337,            0.010577,           0.0043744,             0.81598,             0.92581,             0.93491,             0.65165,            0.024525,           0.0043916,           0.0027532,            0.008911,            0.008911,            0.008911
                  35,            0.032278,            0.010372,           0.0043605,             0.85698,             0.83169,             0.91311,             0.60899,            0.026447,           0.0044188,           0.0026034,            0.008878,            0.008878,            0.008878
                  36,            0.031518,            0.010772,           0.0049331,             0.86053,             0.87397,             0.93576,             0.63502,            0.025249,           0.0044011,           0.0025952,            0.008845,            0.008845,            0.008845
                  37,            0.031681,             0.01011,           0.0060884,             0.85035,             0.87271,             0.93172,             0.60839,            0.026766,           0.0044529,           0.0031296,            0.008812,            0.008812,            0.008812
                  38,             0.03135,            0.010157,           0.0054807,             0.84474,             0.92158,             0.94025,             0.66097,            0.023865,           0.0043301,            0.002982,            0.008779,            0.008779,            0.008779
                  39,            0.030085,            0.010423,           0.0051651,             0.87017,             0.90762,             0.94722,             0.67383,            0.022679,           0.0042885,           0.0027819,            0.008746,            0.008746,            0.008746
                  40,            0.030949,            0.010784,           0.0046639,             0.78936,             0.96558,              0.9148,             0.67348,            0.023773,           0.0043064,            0.002494,            0.008713,            0.008713,            0.008713
                  41,            0.030412,            0.010036,           0.0045392,              0.8185,             0.90689,             0.90098,             0.68346,            0.022553,            0.004412,            0.002442,             0.00868,             0.00868,             0.00868
                  42,            0.029368,            0.010377,           0.0044802,             0.86342,             0.92195,             0.93067,             0.66909,            0.024611,           0.0043416,            0.002592,            0.008647,            0.008647,            0.008647
                  43,            0.030127,            0.010337,           0.0054036,             0.84297,             0.92978,             0.93896,             0.72207,            0.020302,           0.0042276,           0.0026297,            0.008614,            0.008614,            0.008614
                  44,            0.029836,            0.010069,           0.0039322,             0.82347,             0.95513,             0.93612,             0.65328,            0.024926,           0.0042538,           0.0025099,            0.008581,            0.008581,            0.008581
                  45,            0.029836,            0.010441,           0.0040058,             0.85601,             0.90598,             0.93695,             0.64129,            0.022662,           0.0042507,           0.0024133,            0.008548,            0.008548,            0.008548
                  46,            0.029341,            0.010004,           0.0040298,              0.8199,              0.9275,             0.93759,              0.6976,            0.022896,           0.0042501,           0.0024374,            0.008515,            0.008515,            0.008515
