               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11545,            0.017046,                   0,          0.00064444,             0.19728,          0.00051887,          0.00011695,             0.10668,            0.014198,                   0,              0.0838,              0.0018,              0.0018
                   1,             0.10042,            0.018843,                   0,              0.0016,              0.4898,           0.0023096,          0.00053117,            0.088671,            0.016115,                   0,            0.066685,           0.0036853,           0.0036853
                   2,            0.090104,            0.021422,                   0,           0.0028222,             0.86395,            0.019543,           0.0052858,            0.075703,            0.016934,                   0,            0.049556,           0.0055556,           0.0055556
                   3,            0.079159,            0.021669,                   0,            0.051211,             0.34694,            0.047198,            0.013544,            0.079203,            0.014549,                   0,            0.032411,           0.0074109,           0.0074109
                   4,            0.081144,            0.019082,                   0,           0.0029111,             0.89116,           0.0079961,           0.0019411,            0.080308,            0.014343,                   0,            0.015251,           0.0092511,           0.0092511
                   5,            0.074782,            0.019449,                   0,              0.0032,             0.97959,            0.014413,           0.0033937,            0.079264,             0.01381,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.069377,            0.020219,                   0,           0.0032667,                   1,            0.050603,            0.013888,            0.066895,            0.014901,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.063496,            0.020761,                   0,           0.0032667,                   1,            0.058569,            0.017906,            0.065261,            0.014613,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,             0.05957,            0.020231,                   0,            0.086444,             0.51701,              0.1294,             0.05664,            0.058234,            0.015485,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.059012,            0.021927,                   0,              0.2077,             0.38095,             0.15795,            0.085592,            0.047183,            0.016226,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.050422,            0.021111,                   0,             0.27043,             0.31293,             0.19032,            0.088181,            0.050347,            0.015404,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.050232,            0.021156,                   0,             0.27172,              0.2585,             0.17647,            0.054253,            0.043959,             0.01548,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.049913,            0.020793,                   0,             0.22319,             0.22449,             0.15984,            0.056498,            0.050013,            0.014184,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.047762,            0.021274,                   0,             0.24624,             0.30612,              0.1949,            0.077056,            0.041402,            0.014913,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.045957,            0.019023,                   0,              0.2783,             0.35415,             0.25378,             0.13296,            0.041272,            0.014396,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.045963,            0.018725,                   0,             0.26684,             0.46259,             0.29923,             0.16882,            0.045536,            0.013441,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.047485,            0.018299,                   0,              0.2359,             0.54422,             0.27603,             0.08866,             0.04636,            0.012832,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.047935,            0.018622,                   0,             0.20049,             0.47619,             0.26158,            0.087426,            0.045965,            0.012549,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.045309,            0.017677,                   0,             0.20244,             0.48299,             0.24837,             0.12768,            0.041847,             0.01238,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.042875,            0.016815,                   0,             0.26608,             0.51701,             0.30388,             0.18796,            0.036921,             0.01251,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.041638,             0.01513,                   0,             0.24671,             0.72789,             0.32558,             0.15408,            0.037746,            0.012131,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.040803,            0.016512,                   0,             0.28629,             0.83501,             0.36351,             0.21846,             0.04069,            0.011452,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.042332,            0.015107,                   0,             0.30257,             0.85034,             0.38811,              0.2468,             0.03177,            0.011992,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.037324,            0.015423,                   0,             0.32813,              0.7551,             0.41883,             0.26807,            0.033951,            0.011648,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.036316,            0.016489,                   0,             0.37355,             0.71799,             0.41281,             0.21813,            0.034066,            0.011497,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.038762,            0.015548,                   0,             0.43472,             0.66667,             0.47553,             0.31032,            0.033104,            0.011125,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.037484,            0.014435,                   0,             0.44719,             0.69388,              0.5216,             0.31651,            0.033342,            0.010904,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.038189,            0.014153,                   0,             0.47499,             0.65306,             0.58603,             0.42174,            0.027349,            0.011153,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.033395,            0.014502,                   0,             0.49076,             0.66667,             0.60318,              0.3851,            0.030745,            0.010602,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.034732,            0.014415,                   0,             0.50141,             0.70068,              0.5952,             0.32623,            0.036284,            0.010169,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.038223,             0.01352,                   0,             0.49683,             0.73469,              0.6063,             0.42531,            0.029705,            0.010463,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.033878,            0.013088,                   0,              0.5105,             0.72109,             0.61471,             0.32944,            0.031059,            0.010193,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.033649,            0.012619,                   0,              0.5235,             0.72789,             0.62651,             0.38574,             0.03265,           0.0099508,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.034088,            0.012686,                   0,             0.52964,             0.64346,              0.6495,              0.4087,            0.028165,           0.0099396,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,              0.0334,            0.013207,                   0,             0.43334,              0.7551,             0.65404,             0.36399,             0.03307,           0.0095661,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,             0.03475,            0.012946,                   0,              0.4287,              0.7453,             0.65334,             0.44087,            0.026773,           0.0097478,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.033099,            0.013277,                   0,             0.54517,             0.63946,              0.6866,             0.42003,            0.030401,           0.0094866,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.031581,            0.013615,                   0,             0.51218,             0.67347,             0.69389,             0.39389,             0.03441,            0.009374,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.035675,            0.011726,                   0,             0.57291,             0.67528,             0.69777,             0.47098,            0.033199,           0.0090614,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.032537,            0.012831,                   0,             0.56414,             0.66667,             0.68455,             0.39973,            0.030117,           0.0092591,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.031624,            0.012078,                   0,             0.53972,             0.59184,             0.58733,             0.36874,            0.028377,           0.0091821,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.030117,            0.011927,                   0,             0.51559,              0.7415,             0.67505,             0.45787,            0.027947,           0.0090489,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.029553,            0.011835,                   0,             0.57097,              0.7619,             0.67487,             0.47317,            0.026516,           0.0088474,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.030969,            0.011737,                   0,             0.62104,             0.72109,              0.7213,             0.46479,            0.026205,            0.008635,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.028576,            0.012377,                   0,             0.58082,              0.7551,             0.74006,             0.51169,            0.028524,            0.008467,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.028663,            0.011534,                   0,             0.60004,             0.71429,             0.73201,             0.54736,            0.027978,           0.0083603,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.033532,            0.011078,                   0,               0.601,              0.7415,             0.72581,             0.52336,            0.026229,           0.0085451,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.029684,            0.011856,                   0,             0.58814,             0.77716,             0.75303,             0.52473,            0.025999,            0.008287,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.028617,            0.011339,                   0,             0.47871,             0.91833,             0.72845,             0.53597,            0.023013,           0.0090984,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.027663,            0.011369,                   0,             0.47731,             0.91941,             0.73337,             0.52298,            0.025562,           0.0083831,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,             0.02733,             0.01202,                   0,             0.52613,             0.89116,             0.74214,             0.53482,            0.029168,           0.0081548,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.031023,             0.01145,                   0,             0.54622,             0.85034,             0.76058,             0.58466,            0.023957,           0.0080432,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.029639,            0.010769,                   0,             0.57849,             0.85895,             0.76255,             0.52375,            0.028277,           0.0077757,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,             0.02682,            0.010383,                   0,             0.59612,             0.85034,             0.76363,             0.57408,            0.026478,           0.0077211,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.028534,             0.01003,                   0,             0.59281,             0.91156,             0.76877,             0.57072,            0.024988,           0.0076929,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.027539,           0.0094407,                   0,             0.58092,             0.91837,             0.77379,             0.57584,            0.023555,             0.00775,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.026394,             0.01017,                   0,             0.60975,             0.85034,             0.78393,             0.51458,            0.025316,           0.0077634,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.028556,            0.010298,                   0,             0.57906,             0.85714,             0.78083,             0.57404,            0.023278,           0.0076191,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.027183,            0.010719,                   0,             0.55645,             0.90476,             0.77363,             0.56522,            0.026195,           0.0076002,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.030016,            0.010879,                   0,             0.56946,             0.89977,             0.78778,             0.60315,            0.021729,           0.0076876,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,             0.02693,            0.011413,                   0,             0.57361,             0.88772,             0.78705,              0.5702,            0.025916,           0.0075102,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.026526,           0.0099339,                   0,             0.58015,             0.88361,             0.78743,             0.59098,            0.025955,           0.0074264,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.028523,            0.010381,                   0,             0.59152,             0.89644,             0.78634,              0.5403,            0.024093,           0.0074214,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,             0.02783,            0.010731,                   0,             0.59669,             0.84354,              0.7933,             0.61954,            0.023491,           0.0074351,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.027433,           0.0099849,                   0,             0.61706,              0.8002,             0.79725,             0.59833,            0.022019,           0.0075995,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.026106,           0.0096736,                   0,             0.64569,             0.77551,             0.80237,             0.60314,            0.021174,           0.0075804,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.024004,            0.010653,                   0,             0.69531,             0.78231,             0.80517,             0.60216,            0.023006,           0.0076043,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.024587,            0.010251,                   0,             0.67656,              0.7619,             0.79521,             0.59711,            0.022655,           0.0074887,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.025445,           0.0099319,                   0,             0.66029,             0.78912,             0.78918,             0.59779,            0.022139,           0.0074148,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.022963,            0.010601,                   0,             0.69986,              0.7619,             0.80876,             0.64058,            0.020508,           0.0073263,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.026348,           0.0093184,                   0,             0.67186,             0.77551,             0.81823,             0.63932,            0.020397,             0.00731,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.026799,           0.0099491,                   0,             0.70926,              0.7483,             0.81988,             0.61229,            0.021565,           0.0073289,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.026658,           0.0094435,                   0,             0.70291,             0.72428,             0.82087,             0.62982,            0.019779,           0.0072914,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.024295,           0.0097436,                   0,             0.66865,             0.78231,             0.81992,             0.61542,            0.021152,           0.0072467,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.023732,            0.010058,                   0,             0.62496,             0.82993,             0.81738,             0.63263,            0.024503,           0.0072755,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.026252,           0.0094835,                   0,             0.62409,             0.82313,             0.83274,             0.60997,            0.020495,           0.0073713,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.023739,            0.010012,                   0,             0.65313,             0.81633,              0.8285,             0.59882,            0.021752,           0.0073029,                   0,             0.00703,             0.00703,             0.00703
