               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12056,             0.01891,                   0,           0.0010417,              0.3125,           0.0011755,          0.00027695,             0.13155,            0.012686,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12139,            0.016922,                   0,           0.0010417,              0.3125,          0.00090806,          0.00024378,             0.12811,            0.012837,                   0,            0.097289,          0.00028939,          0.00028939
                   2,             0.12506,            0.017359,                   0,           0.0012586,               0.375,           0.0014697,          0.00032684,             0.12233,             0.01314,                   0,            0.095465,          0.00046464,          0.00046464
                   3,             0.11874,            0.019109,                   0,           0.0022388,              0.5625,           0.0046539,          0.00082313,             0.11095,            0.013535,                   0,            0.093626,          0.00062575,          0.00062575
                   4,             0.11391,            0.019137,                   0,             0.11367,              0.0625,            0.021831,           0.0027989,            0.097793,             0.01397,                   0,            0.091773,          0.00077271,          0.00077271
                   5,             0.11149,            0.017772,                   0,             0.14948,              0.0625,            0.043126,             0.01458,            0.087557,             0.01442,                   0,            0.089906,          0.00090554,          0.00090554
                   6,             0.10464,            0.025094,                   0,             0.20289,             0.28702,             0.17396,            0.067406,            0.078042,            0.015024,                   0,            0.088024,           0.0010242,           0.0010242
                   7,              0.1063,            0.019575,                   0,             0.40972,             0.30431,             0.31739,            0.093333,            0.074939,            0.015521,                   0,            0.086129,           0.0011287,           0.0011287
                   8,             0.09764,            0.018252,                   0,             0.46502,              0.3269,             0.39989,             0.18681,            0.070607,            0.016256,                   0,            0.084219,           0.0012191,           0.0012191
                   9,            0.090813,            0.025355,                   0,             0.64291,               0.451,             0.58798,             0.24811,            0.067799,            0.016504,                   0,            0.082295,           0.0012954,           0.0012954
                  10,            0.092766,            0.021424,                   0,             0.74355,             0.36371,             0.58072,             0.26074,            0.065902,              0.0166,                   0,            0.080357,           0.0013575,           0.0013575
                  11,            0.084838,             0.02485,                   0,             0.74355,             0.36371,             0.58072,             0.26074,            0.065902,              0.0166,                   0,            0.078405,           0.0014055,           0.0014055
                  12,            0.086671,            0.025499,                   0,              0.8324,              0.4375,             0.67976,             0.29172,             0.06535,            0.016651,                   0,            0.076439,           0.0014393,           0.0014393
                  13,            0.081367,             0.02284,                   0,             0.83192,              0.4375,             0.67723,             0.29942,            0.065153,            0.016521,                   0,            0.074459,            0.001459,            0.001459
                  14,            0.087509,            0.021922,                   0,             0.83192,              0.4375,             0.67723,             0.29942,            0.065153,            0.016521,                   0,            0.072465,           0.0014645,           0.0014645
                  15,            0.086047,            0.028924,                   0,             0.80225,              0.4375,             0.67791,             0.28768,            0.065028,            0.016396,                   0,            0.070456,           0.0014559,           0.0014559
                  16,            0.080659,            0.018684,                   0,              0.7357,             0.34997,             0.65525,             0.25918,            0.064992,            0.016275,                   0,            0.068433,           0.0014331,           0.0014331
                  17,            0.073596,            0.024179,                   0,              0.7357,             0.34997,             0.65525,             0.25918,            0.064992,            0.016275,                   0,            0.066396,           0.0013962,           0.0013962
                  18,            0.080925,            0.022503,                   0,             0.79714,               0.625,             0.75521,             0.34911,            0.062715,            0.016287,                   0,            0.064345,           0.0013452,           0.0013452
                  19,            0.085525,            0.028951,                   0,             0.79714,               0.625,             0.75521,             0.34911,            0.062715,            0.016287,                   0,             0.06228,             0.00128,             0.00128
                  20,            0.080963,            0.023144,                   0,             0.65673,              0.5625,             0.69901,             0.31635,            0.060039,            0.016306,                   0,            0.060201,           0.0012007,           0.0012007
                  21,            0.076898,            0.026152,                   0,             0.65673,              0.5625,             0.69901,             0.31635,            0.060039,            0.016306,                   0,            0.058107,           0.0011072,           0.0011072
                  22,            0.078536,            0.024877,                   0,             0.63654,                 0.5,             0.65834,             0.28129,            0.057393,            0.016302,                   0,               0.056,          0.00099964,          0.00099964
                  23,            0.079858,            0.023565,                   0,             0.63654,                 0.5,             0.65834,             0.28129,            0.057393,            0.016302,                   0,            0.053878,          0.00087789,          0.00087789
                  24,            0.072695,            0.025054,                   0,             0.54298,              0.4375,             0.61651,             0.26676,            0.055307,            0.016394,                   0,            0.051742,            0.000742,            0.000742
                  25,            0.074246,            0.022584,                   0,             0.54298,              0.4375,             0.61651,             0.26676,            0.055307,            0.016394,                   0,            0.049592,          0.00059196,          0.00059196
                  26,            0.081352,            0.024452,                   0,             0.54298,              0.4375,             0.61651,             0.26676,            0.055307,            0.016394,                   0,            0.047428,          0.00042779,          0.00042779
